image,run,status,tag_id,conf,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,qw,qx,qy,qz,eu_px,ev_px
frame_000102.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000102.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000102.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000102.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000102.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000104.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000104.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000104.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000104.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000104.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000106.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000106.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000106.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000106.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000106.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000108.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000108.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000108.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000108.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000108.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000110.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000110.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000110.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000110.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000110.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000112.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000112.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000112.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000112.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000112.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000114.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000114.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000114.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000114.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000114.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000116.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000116.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000116.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000116.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000116.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000118.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000118.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000118.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000118.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000118.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000120.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000120.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000120.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000120.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000120.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000122.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000122.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000122.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000122.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000122.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000124.jpg,1,DETECTED,0,83.1,-0.1994,-0.0036,0.4692,-5.54,-2.40,-176.46,-0.0299,0.0224,-0.0477,0.9982,-211.3,+1.7
frame_000124.jpg,2,DETECTED,0,83.1,-0.1994,-0.0036,0.4692,-5.54,-2.40,-176.46,-0.0299,0.0224,-0.0477,0.9982,-211.3,+1.7
frame_000124.jpg,3,DETECTED,0,83.1,-0.1994,-0.0036,0.4692,-5.54,-2.40,-176.46,-0.0299,0.0224,-0.0477,0.9982,-211.3,+1.7
frame_000124.jpg,4,DETECTED,0,83.1,-0.1994,-0.0036,0.4692,-5.54,-2.40,-176.46,-0.0299,0.0224,-0.0477,0.9982,-211.3,+1.7
frame_000124.jpg,5,DETECTED,0,83.1,-0.1994,-0.0036,0.4692,-5.54,-2.40,-176.46,-0.0299,0.0224,-0.0477,0.9982,-211.3,+1.7
frame_000126.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000126.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000126.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000126.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000126.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000128.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000128.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000128.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000128.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000128.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000130.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000130.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000130.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000130.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000130.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000132.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000132.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
frame_000132.jpg,3,NOT DETECTED,,,,,,,,,,,,,,
frame_000132.jpg,4,NOT DETECTED,,,,,,,,,,,,,,
frame_000132.jpg,5,NOT DETECTED,,,,,,,,,,,,,,
frame_000134.jpg,1,NOT DETECTED,,,,,,,,,,,,,,
frame_000134.jpg,2,NOT DETECTED,,,,,,,,,,,,,,
